#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.25821     2.25821           0
           2     2.46078      2.3595   0.0716176
           3     1.98131     2.23343    0.113464
           4     1.96326     2.16589    0.103263
           5     2.12956     2.15862   0.0828657
           6     2.17121     2.16072   0.0690813
           7     2.16328     2.16109   0.0592135
           8      2.0574     2.14813   0.0532114
           9     2.19705     2.15356   0.0475759
          10     2.26077     2.16428   0.0440097
