#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.65525     9.65525           0
           2     9.60694      9.6311   0.0170832
           3     9.59981     9.62067   0.0142206
           4     9.59194     9.61348   0.0123465
           5     9.60775     9.61234  0.00993036
           6     9.56986     9.60526   0.0104995
           7     9.63003      9.6088  0.00957765
           8     9.60848     9.60876  0.00838052
           9     9.59788     9.60755  0.00753597
          10     9.61274     9.60807  0.00680022
