#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.37439    -0.37439           0
           2   -0.367174   -0.370782  0.00255118
           3   -0.348975   -0.363513  0.00617404
           4   -0.385921   -0.369115  0.00670666
           5   -0.384861   -0.372264  0.00605977
           6   -0.382375   -0.373949  0.00527893
           7   -0.326307   -0.367143  0.00775744
           8    -0.33164   -0.362705  0.00795657
           9   -0.344893   -0.360726  0.00731452
          10   -0.342873   -0.358941  0.00679747
