#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -6.6492     -6.6492           0
           2    -6.66202    -6.65561  0.00453525
           3    -6.65981    -6.65701  0.00323252
           4    -6.65881    -6.65746  0.00245561
           5    -6.65675    -6.65732  0.00196861
           6    -6.67214    -6.65979  0.00278865
           7    -6.65705     -6.6594  0.00241762
           8    -6.66079    -6.65957  0.00212169
           9    -6.66378    -6.66004   0.0019369
          10    -6.66159    -6.66019  0.00174945
