#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46014    -5.46014           0
           2    -5.44177    -5.45096  0.00649431
           3     -5.4621    -5.45467  0.00528628
           4    -5.47838     -5.4606  0.00648525
           5    -5.47506    -5.46349    0.005797
           6    -5.46914    -5.46443  0.00490669
           7    -5.46296    -5.46422  0.00421023
           8    -5.46367    -5.46415  0.00368451
           9    -5.46262    -5.46398  0.00327908
          10    -5.46133    -5.46372  0.00296184
          11    -5.46357     -5.4637  0.00269261
          12    -5.46631    -5.46392  0.00247698
          13    -5.46085    -5.46368  0.00229771
          14    -5.46462    -5.46375  0.00213456
          15    -5.46617    -5.46391  0.00199834
          16    -5.46215     -5.4638  0.00187647
          17    -5.49366    -5.46556  0.00245399
          18    -5.46964    -5.46579  0.00232812
          19    -5.48061    -5.46657  0.00233267
          20    -5.47262    -5.46687  0.00223556
