#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0427115   0.0427115           0
           2   0.0425429   0.0426272 5.96006e-05
           3   0.0422307    0.042495 0.000115002
           4   0.0431645   0.0426624  0.00016867
           5   0.0425559   0.0426411 0.000136275
           6   0.0427724    0.042663 0.000115306
           7    0.042703   0.0426687 9.89754e-05
           8    0.042435   0.0426395 9.08106e-05
           9    0.042973   0.0426766 8.79562e-05
          10   0.0424834   0.0426572 8.12529e-05
          11   0.0424481   0.0426382 7.60573e-05
          12   0.0430581   0.0426732 7.73496e-05
          13   0.0427803   0.0426815 7.18366e-05
          14   0.0424862   0.0426675 6.80462e-05
          15   0.0426332   0.0426652 6.35482e-05
          16    0.042693    0.042667 5.96002e-05
          17    0.042318   0.0426464 5.95233e-05
          18   0.0425162   0.0426392 5.66546e-05
          19    0.042554   0.0426347 5.38501e-05
          20   0.0424216   0.0426241 5.22008e-05
